topo_id,topo_name,width_id,width_desc,L,R,op,bf_prob,fn_prob,state,risk_score,match
2-1,부분겹침(L왼쪽),S,small,"[3,5]","[4,7]",not in,0.333,0.333,warning,5.5,PASS
2-1,부분겹침(L왼쪽),M,medium,"[0,8]","[5,15]",>,0.061,0.061,warning,6.4,PASS
2-1,부분겹침(L왼쪽),M,medium,"[0,8]","[5,15]",>=,0.101,0.101,warning,6.3,PASS
2-1,부분겹침(L왼쪽),M,medium,"[0,8]","[5,15]",<,0.899,0.899,warning,3.7,PASS
2-1,부분겹침(L왼쪽),M,medium,"[0,8]","[5,15]",<=,0.939,0.939,warning,3.6,PASS
2-1,부분겹침(L왼쪽),M,medium,"[0,8]","[5,15]",==,0.04,0.04,warning,9.8,PASS
2-1,부분겹침(L왼쪽),M,medium,"[0,8]","[5,15]",!=,0.96,0.96,warning,6.8,PASS
2-1,부분겹침(L왼쪽),M,medium,"[0,8]","[5,15]",in,0.444,0.444,warning,5.2,PASS
2-1,부분겹침(L왼쪽),M,medium,"[0,8]","[5,15]",not in,0.556,0.556,warning,4.8,PASS
2-1,부분겹침(L왼쪽),L,large,"[0,30]","[20,60]",>,0.043,0.043,warning,6.5,PASS
2-1,부분겹침(L왼쪽),L,large,"[0,30]","[20,60]",>=,0.052,0.052,warning,6.4,PASS
2-1,부분겹침(L왼쪽),L,large,"[0,30]","[20,60]",<,0.948,0.948,warning,3.6,PASS
2-1,부분겹침(L왼쪽),L,large,"[0,30]","[20,60]",<=,0.957,0.957,warning,3.5,PASS
2-1,부분겹침(L왼쪽),L,large,"[0,30]","[20,60]",==,0.009,0.009,warning,9.9,PASS
2-1,부분겹침(L왼쪽),L,large,"[0,30]","[20,60]",!=,0.991,0.991,warning,6.7,PASS
2-1,부분겹침(L왼쪽),L,large,"[0,30]","[20,60]",in,0.355,0.355,warning,5.5,PASS
2-1,부분겹침(L왼쪽),L,large,"[0,30]","[20,60]",not in,0.645,0.645,warning,4.5,PASS
2-1,부분겹침(L왼쪽),AL,asym-L,"[0,40]","[35,42]",>,0.046,0.046,warning,6.5,PASS
2-1,부분겹침(L왼쪽),AL,asym-L,"[0,40]","[35,42]",>=,0.064,0.064,warning,6.4,PASS
2-1,부분겹침(L왼쪽),AL,asym-L,"[0,40]","[35,42]",<,0.936,0.936,warning,3.6,PASS
2-1,부분겹침(L왼쪽),AL,asym-L,"[0,40]","[35,42]",<=,0.954,0.954,warning,3.5,PASS
2-1,부분겹침(L왼쪽),AL,asym-L,"[0,40]","[35,42]",==,0.018,0.018,warning,9.8,PASS
2-1,부분겹침(L왼쪽),AL,asym-L,"[0,40]","[35,42]",!=,0.982,0.982,warning,6.8,PASS
2-1,부분겹침(L왼쪽),AL,asym-L,"[0,40]","[35,42]",in,0.146,0.146,warning,6.1,PASS
2-1,부분겹침(L왼쪽),AL,asym-L,"[0,40]","[35,42]",not in,0.854,0.854,warning,3.9,PASS
2-1,부분겹침(L왼쪽),AR,asym-R,"[10,13]","[12,55]",>,0.006,0.006,warning,6.6,PASS
2-1,부분겹침(L왼쪽),AR,asym-R,"[10,13]","[12,55]",>=,0.017,0.017,warning,6.5,PASS
2-1,부분겹침(L왼쪽),AR,asym-R,"[10,13]","[12,55]",<,0.983,0.983,warning,3.5,PASS
2-1,부분겹침(L왼쪽),AR,asym-R,"[10,13]","[12,55]",<=,0.994,0.994,warning,3.4,PASS
2-1,부분겹침(L왼쪽),AR,asym-R,"[10,13]","[12,55]",==,0.011,0.011,warning,9.9,PASS
2-1,부분겹침(L왼쪽),AR,asym-R,"[10,13]","[12,55]",!=,0.989,0.989,warning,6.7,PASS
2-1,부분겹침(L왼쪽),AR,asym-R,"[10,13]","[12,55]",in,0.5,0.5,warning,5.0,PASS
2-1,부분겹침(L왼쪽),AR,asym-R,"[10,13]","[12,55]",not in,0.5,0.5,warning,5.0,PASS
2-2,부분겹침(R왼쪽),S,small,"[4,7]","[3,5]",>,0.75,0.75,warning,4.2,PASS
2-2,부분겹침(R왼쪽),S,small,"[4,7]","[3,5]",>=,0.917,0.917,warning,3.7,PASS
2-2,부분겹침(R왼쪽),S,small,"[4,7]","[3,5]",<,0.083,0.083,warning,6.3,PASS
2-2,부분겹침(R왼쪽),S,small,"[4,7]","[3,5]",<=,0.25,0.25,warning,5.8,PASS
2-2,부분겹침(R왼쪽),S,small,"[4,7]","[3,5]",==,0.167,0.167,warning,9.4,PASS
2-2,부분겹침(R왼쪽),S,small,"[4,7]","[3,5]",!=,0.833,0.833,warning,7.2,PASS
2-2,부분겹침(R왼쪽),S,small,"[4,7]","[3,5]",in,0.5,0.5,warning,5.0,PASS
2-2,부분겹침(R왼쪽),S,small,"[4,7]","[3,5]",not in,0.5,0.5,warning,5.0,PASS
2-2,부분겹침(R왼쪽),M,medium,"[5,15]","[0,8]",>,0.899,0.899,warning,3.7,PASS
2-2,부분겹침(R왼쪽),M,medium,"[5,15]","[0,8]",>=,0.939,0.939,warning,3.6,PASS
2-2,부분겹침(R왼쪽),M,medium,"[5,15]","[0,8]",<,0.061,0.061,warning,6.4,PASS
2-2,부분겹침(R왼쪽),M,medium,"[5,15]","[0,8]",<=,0.101,0.101,warning,6.3,PASS
2-2,부분겹침(R왼쪽),M,medium,"[5,15]","[0,8]",==,0.04,0.04,warning,9.8,PASS
2-2,부분겹침(R왼쪽),M,medium,"[5,15]","[0,8]",!=,0.96,0.96,warning,6.8,PASS
2-2,부분겹침(R왼쪽),M,medium,"[5,15]","[0,8]",in,0.364,0.364,warning,5.4,PASS
2-2,부분겹침(R왼쪽),M,medium,"[5,15]","[0,8]",not in,0.636,0.636,warning,4.6,PASS
2-2,부분겹침(R왼쪽),L,large,"[20,60]","[0,30]",>,0.948,0.948,warning,3.6,PASS
2-2,부분겹침(R왼쪽),L,large,"[20,60]","[0,30]",>=,0.957,0.957,warning,3.5,PASS
2-2,부분겹침(R왼쪽),L,large,"[20,60]","[0,30]",<,0.043,0.043,warning,6.5,PASS
2-2,부분겹침(R왼쪽),L,large,"[20,60]","[0,30]",<=,0.052,0.052,warning,6.4,PASS
2-2,부분겹침(R왼쪽),L,large,"[20,60]","[0,30]",==,0.009,0.009,warning,9.9,PASS
2-2,부분겹침(R왼쪽),L,large,"[20,60]","[0,30]",!=,0.991,0.991,warning,6.7,PASS
2-2,부분겹침(R왼쪽),L,large,"[20,60]","[0,30]",in,0.268,0.268,warning,5.7,PASS
2-2,부분겹침(R왼쪽),L,large,"[20,60]","[0,30]",not in,0.732,0.732,warning,4.3,PASS
2-2,부분겹침(R왼쪽),AL,asym-L,"[5,50]","[3,8]",>,0.964,0.964,warning,3.5,PASS
2-2,부분겹침(R왼쪽),AL,asym-L,"[5,50]","[3,8]",>=,0.978,0.978,warning,3.5,PASS
2-2,부분겹침(R왼쪽),AL,asym-L,"[5,50]","[3,8]",<,0.022,0.022,warning,6.5,PASS
2-2,부분겹침(R왼쪽),AL,asym-L,"[5,50]","[3,8]",<=,0.036,0.036,warning,6.5,PASS
2-2,부분겹침(R왼쪽),AL,asym-L,"[5,50]","[3,8]",==,0.014,0.014,warning,9.9,PASS
2-2,부분겹침(R왼쪽),AL,asym-L,"[5,50]","[3,8]",!=,0.986,0.986,warning,6.7,PASS
2-2,부분겹침(R왼쪽),AL,asym-L,"[5,50]","[3,8]",in,0.087,0.087,warning,6.3,PASS
2-2,부분겹침(R왼쪽),AL,asym-L,"[5,50]","[3,8]",not in,0.913,0.913,warning,3.7,PASS
2-2,부분겹침(R왼쪽),AR,asym-R,"[30,35]","[0,32]",>,0.97,0.97,warning,3.5,PASS
2-2,부분겹침(R왼쪽),AR,asym-R,"[30,35]","[0,32]",>=,0.985,0.985,warning,3.4,PASS
2-2,부분겹침(R왼쪽),AR,asym-R,"[30,35]","[0,32]",<,0.015,0.015,warning,6.6,PASS
2-2,부분겹침(R왼쪽),AR,asym-R,"[30,35]","[0,32]",<=,0.03,0.03,warning,6.5,PASS
2-2,부분겹침(R왼쪽),AR,asym-R,"[30,35]","[0,32]",==,0.015,0.015,warning,9.9,PASS
2-2,부분겹침(R왼쪽),AR,asym-R,"[30,35]","[0,32]",!=,0.985,0.985,warning,6.7,PASS
2-2,부분겹침(R왼쪽),AR,asym-R,"[30,35]","[0,32]",in,0.5,0.5,warning,5.0,PASS
2-2,부분겹침(R왼쪽),AR,asym-R,"[30,35]","[0,32]",not in,0.5,0.5,warning,5.0,PASS
3-1,L엄격포함R,S,small,"[2,6]","[3,5]",>,0.4,0.4,warning,5.3,PASS
3-1,L엄격포함R,S,small,"[2,6]","[3,5]",>=,0.6,0.6,warning,4.7,PASS
3-1,L엄격포함R,S,small,"[2,6]","[3,5]",<,0.4,0.4,warning,5.3,PASS
3-1,L엄격포함R,S,small,"[2,6]","[3,5]",<=,0.6,0.6,warning,4.7,PASS
3-1,L엄격포함R,S,small,"[2,6]","[3,5]",==,0.2,0.2,warning,9.3,PASS
3-1,L엄격포함R,S,small,"[2,6]","[3,5]",!=,0.8,0.8,warning,7.3,PASS
3-1,L엄격포함R,S,small,"[2,6]","[3,5]",in,0.6,0.6,warning,8.0,PASS
3-1,L엄격포함R,S,small,"[2,6]","[3,5]",not in,0.4,0.4,warning,5.3,PASS
3-1,L엄격포함R,M,medium,"[0,12]","[3,9]",>,0.462,0.462,warning,5.1,PASS
3-1,L엄격포함R,M,medium,"[0,12]","[3,9]",>=,0.538,0.538,warning,4.9,PASS
3-1,L엄격포함R,M,medium,"[0,12]","[3,9]",<,0.462,0.462,warning,5.1,PASS
3-1,L엄격포함R,M,medium,"[0,12]","[3,9]",<=,0.538,0.538,warning,4.9,PASS
3-1,L엄격포함R,M,medium,"[0,12]","[3,9]",==,0.077,0.077,warning,9.7,PASS
3-1,L엄격포함R,M,medium,"[0,12]","[3,9]",!=,0.923,0.923,warning,6.9,PASS
3-1,L엄격포함R,M,medium,"[0,12]","[3,9]",in,0.538,0.538,warning,8.2,PASS
3-1,L엄격포함R,M,medium,"[0,12]","[3,9]",not in,0.462,0.462,warning,5.1,PASS
3-1,L엄격포함R,L,large,"[0,60]","[10,50]",>,0.492,0.492,warning,5.0,PASS
3-1,L엄격포함R,L,large,"[0,60]","[10,50]",>=,0.508,0.508,warning,5.0,PASS
3-1,L엄격포함R,L,large,"[0,60]","[10,50]",<,0.492,0.492,warning,5.0,PASS
3-1,L엄격포함R,L,large,"[0,60]","[10,50]",<=,0.508,0.508,warning,5.0,PASS
3-1,L엄격포함R,L,large,"[0,60]","[10,50]",==,0.016,0.016,warning,9.8,PASS
3-1,L엄격포함R,L,large,"[0,60]","[10,50]",!=,0.984,0.984,warning,6.8,PASS
3-1,L엄격포함R,L,large,"[0,60]","[10,50]",in,0.672,0.672,warning,7.7,PASS
3-1,L엄격포함R,L,large,"[0,60]","[10,50]",not in,0.328,0.328,warning,5.6,PASS
3-1,L엄격포함R,AL,asym-L,"[0,50]","[24,26]",>,0.49,0.49,warning,5.0,PASS
3-1,L엄격포함R,AL,asym-L,"[0,50]","[24,26]",>=,0.51,0.51,warning,5.0,PASS
3-1,L엄격포함R,AL,asym-L,"[0,50]","[24,26]",<,0.49,0.49,warning,5.0,PASS
3-1,L엄격포함R,AL,asym-L,"[0,50]","[24,26]",<=,0.51,0.51,warning,5.0,PASS
3-1,L엄격포함R,AL,asym-L,"[0,50]","[24,26]",==,0.02,0.02,warning,9.8,PASS
3-1,L엄격포함R,AL,asym-L,"[0,50]","[24,26]",!=,0.98,0.98,warning,6.8,PASS
3-1,L엄격포함R,AL,asym-L,"[0,50]","[24,26]",in,0.059,0.059,warning,9.7,PASS
3-1,L엄격포함R,AL,asym-L,"[0,50]","[24,26]",not in,0.941,0.941,warning,3.6,PASS
3-1,L엄격포함R,AR,asym-R,"[5,15]","[6,14]",>,0.455,0.455,warning,5.1,PASS
3-1,L엄격포함R,AR,asym-R,"[5,15]","[6,14]",>=,0.545,0.545,warning,4.9,PASS
3-1,L엄격포함R,AR,asym-R,"[5,15]","[6,14]",<,0.455,0.455,warning,5.1,PASS
3-1,L엄격포함R,AR,asym-R,"[5,15]","[6,14]",<=,0.545,0.545,warning,4.9,PASS
3-1,L엄격포함R,AR,asym-R,"[5,15]","[6,14]",==,0.091,0.091,warning,9.6,PASS
3-1,L엄격포함R,AR,asym-R,"[5,15]","[6,14]",!=,0.909,0.909,warning,7.0,PASS
3-1,L엄격포함R,AR,asym-R,"[5,15]","[6,14]",in,0.818,0.818,warning,7.3,PASS
3-1,L엄격포함R,AR,asym-R,"[5,15]","[6,14]",not in,0.182,0.182,warning,6.0,PASS
3-2,R엄격포함L,S,small,"[3,5]","[2,6]",>,0.4,0.4,warning,5.3,PASS
3-2,R엄격포함L,S,small,"[3,5]","[2,6]",>=,0.6,0.6,warning,4.7,PASS
3-2,R엄격포함L,S,small,"[3,5]","[2,6]",<,0.4,0.4,warning,5.3,PASS
3-2,R엄격포함L,S,small,"[3,5]","[2,6]",<=,0.6,0.6,warning,4.7,PASS
3-2,R엄격포함L,S,small,"[3,5]","[2,6]",==,0.2,0.2,warning,9.3,PASS
3-2,R엄격포함L,S,small,"[3,5]","[2,6]",!=,0.8,0.8,warning,7.3,PASS
3-2,R엄격포함L,S,small,"[3,5]","[2,6]",in,1.0,1.0,satisfied,0.0,PASS
3-2,R엄격포함L,S,small,"[3,5]","[2,6]",not in,0.0,0.0,violated,10.0,PASS
3-2,R엄격포함L,M,medium,"[3,9]","[0,12]",>,0.462,0.462,warning,5.1,PASS
3-2,R엄격포함L,M,medium,"[3,9]","[0,12]",>=,0.538,0.538,warning,4.9,PASS
3-2,R엄격포함L,M,medium,"[3,9]","[0,12]",<,0.462,0.462,warning,5.1,PASS
3-2,R엄격포함L,M,medium,"[3,9]","[0,12]",<=,0.538,0.538,warning,4.9,PASS
3-2,R엄격포함L,M,medium,"[3,9]","[0,12]",==,0.077,0.077,warning,9.7,PASS
3-2,R엄격포함L,M,medium,"[3,9]","[0,12]",!=,0.923,0.923,warning,6.9,PASS
3-2,R엄격포함L,M,medium,"[3,9]","[0,12]",in,1.0,1.0,satisfied,0.0,PASS
3-2,R엄격포함L,M,medium,"[3,9]","[0,12]",not in,0.0,0.0,violated,10.0,PASS
3-2,R엄격포함L,L,large,"[10,50]","[0,60]",>,0.492,0.492,warning,5.0,PASS
3-2,R엄격포함L,L,large,"[10,50]","[0,60]",>=,0.508,0.508,warning,5.0,PASS
3-2,R엄격포함L,L,large,"[10,50]","[0,60]",<,0.492,0.492,warning,5.0,PASS
3-2,R엄격포함L,L,large,"[10,50]","[0,60]",<=,0.508,0.508,warning,5.0,PASS
3-2,R엄격포함L,L,large,"[10,50]","[0,60]",==,0.016,0.016,warning,9.8,PASS
3-2,R엄격포함L,L,large,"[10,50]","[0,60]",!=,0.984,0.984,warning,6.8,PASS
3-2,R엄격포함L,L,large,"[10,50]","[0,60]",in,1.0,1.0,satisfied,0.0,PASS
3-2,R엄격포함L,L,large,"[10,50]","[0,60]",not in,0.0,0.0,violated,10.0,PASS
3-2,R엄격포함L,AL,asym-L,"[20,30]","[19,31]",>,0.462,0.462,warning,5.1,PASS
3-2,R엄격포함L,AL,asym-L,"[20,30]","[19,31]",>=,0.538,0.538,warning,4.9,PASS
3-2,R엄격포함L,AL,asym-L,"[20,30]","[19,31]",<,0.462,0.462,warning,5.1,PASS
3-2,R엄격포함L,AL,asym-L,"[20,30]","[19,31]",<=,0.538,0.538,warning,4.9,PASS
3-2,R엄격포함L,AL,asym-L,"[20,30]","[19,31]",==,0.077,0.077,warning,9.7,PASS
3-2,R엄격포함L,AL,asym-L,"[20,30]","[19,31]",!=,0.923,0.923,warning,6.9,PASS
3-2,R엄격포함L,AL,asym-L,"[20,30]","[19,31]",in,1.0,1.0,satisfied,0.0,PASS
3-2,R엄격포함L,AL,asym-L,"[20,30]","[19,31]",not in,0.0,0.0,violated,10.0,PASS
3-2,R엄격포함L,AR,asym-R,"[24,26]","[0,50]",>,0.49,0.49,warning,5.0,PASS
3-2,R엄격포함L,AR,asym-R,"[24,26]","[0,50]",>=,0.51,0.51,warning,5.0,PASS
3-2,R엄격포함L,AR,asym-R,"[24,26]","[0,50]",<,0.49,0.49,warning,5.0,PASS
3-2,R엄격포함L,AR,asym-R,"[24,26]","[0,50]",<=,0.51,0.51,warning,5.0,PASS
3-2,R엄격포함L,AR,asym-R,"[24,26]","[0,50]",==,0.02,0.02,warning,9.8,PASS
3-2,R엄격포함L,AR,asym-R,"[24,26]","[0,50]",!=,0.98,0.98,warning,6.8,PASS
3-2,R엄격포함L,AR,asym-R,"[24,26]","[0,50]",in,1.0,1.0,satisfied,0.0,PASS
3-2,R엄격포함L,AR,asym-R,"[24,26]","[0,50]",not in,0.0,0.0,violated,10.0,PASS
4-1,"왼쪽공유,L넓음",S,small,"[3,6]","[3,4]",>,0.625,0.625,warning,4.6,PASS
4-1,"왼쪽공유,L넓음",S,small,"[3,6]","[3,4]",>=,0.875,0.875,warning,3.8,PASS
4-1,"왼쪽공유,L넓음",S,small,"[3,6]","[3,4]",<,0.125,0.125,warning,6.2,PASS
4-1,"왼쪽공유,L넓음",S,small,"[3,6]","[3,4]",<=,0.375,0.375,warning,5.4,PASS
4-1,"왼쪽공유,L넓음",S,small,"[3,6]","[3,4]",==,0.25,0.25,warning,9.1,PASS
4-1,"왼쪽공유,L넓음",S,small,"[3,6]","[3,4]",!=,0.75,0.75,warning,7.5,PASS
4-1,"왼쪽공유,L넓음",S,small,"[3,6]","[3,4]",in,0.5,0.5,warning,5.0,PASS
4-1,"왼쪽공유,L넓음",S,small,"[3,6]","[3,4]",not in,0.5,0.5,warning,5.0,PASS
4-1,"왼쪽공유,L넓음",M,medium,"[3,12]","[3,7]",>,0.7,0.7,warning,4.4,PASS
4-1,"왼쪽공유,L넓음",M,medium,"[3,12]","[3,7]",>=,0.8,0.8,warning,4.0,PASS
4-1,"왼쪽공유,L넓음",M,medium,"[3,12]","[3,7]",<,0.2,0.2,warning,6.0,PASS
4-1,"왼쪽공유,L넓음",M,medium,"[3,12]","[3,7]",<=,0.3,0.3,warning,5.6,PASS
