id,source,contract,function,bug_lines,result,annotation_kind,annotation_family,final_class,bug_category,proxy_type,l4a_axis,bug_awareness,silent_sanction,aux_injection_viable,notes
web3bugs_61_H_02,web3bugs,SavingsAccountUtil,savingsAccountTransfer,75;77;79,not_detectable,,,L4a,value,B,alpha,,Y,Y_hard,Case7_twin_wrapper_return_misrouting_drop_pattern_pps_shares_mismatch
web3bugs_61_H_04,web3bugs,YearnYield,getTokensForShares,180,not_detectable,,,L4a,value,B,alpha,,Y,Y,Case1_Case2_scaling_trio_decimals_based_L4a_pure_Type_B_version_of_Case1
web3bugs_17_H_02,web3bugs,Buoy3Pool,safetyCheck,88,not_detectable,,,L4b,algorithm,B,,,Y,Y_hard,view_function_missing_b_c_check_AND_missing_cache_state_var_deepest_L4b_requires_data_model_extension
web3bugs_52_H_15,web3bugs,VaderRouter,_swap,326,not_detectable,,,L4b,value,B,,,Y,N,pool_swap_arg_order_reversal_3_path_revert_all_cases_router_wrapper_L4b_archetype
web3bugs_35_H_10,web3bugs,ConcentratedLiquidityPool,burn,264;265,not_detectable,,,L4c,value,A,,,N,Y,only_L4c_case_magnitude_only_diff_Type_A_proxy_in_scope_but_grammar_limit_snapshot_injection_enables_L5_transit
web3bugs_36_H_02,web3bugs,Basket,auctionBurn,102;103;105,not_detectable,,,L4d,algorithm,A,,,Y,Y,only_L4d_case_multi_var_product_invariant_ibRatio_totalSupply_preservation_merger_candidate_with_L4c_both_grammar_limit
web3bugs_52_H_16,web3bugs,VaderRouter,calculateOutGivenIn,488;489;490;491,not_detectable,,,L4b,value,B,,,Y,N,Case12_52H15_twin_view_version_pool0_pool1_reserve_order_swap
web3bugs_58_H_04,web3bugs,AaveVault,tvl;_push,47,not_detectable,,,L4b,algorithm,B,,,Y,Y_hard,stale_cache_tvl_ordering_bug_updateTvls_before_deposit_missing_missing_check_family_Case11_twin
web3bugs_62_H_01,web3bugs,Stream,recoverTokens,654,not_detectable,,,L4b,algorithm,B,,,Y,Y,missing_formula_term_flashloan_fee_deduction_balanceOf_inline_unbound_Case9_wrapper_family
web3bugs_70_H_08,web3bugs,VaderReserve,reimburseImpermanentLoss,98;102,not_detectable,,,L4b,value,B,,,Y,Y,scaling_factor_missing_1e18_parameter_overwrite_loses_original_Case1_Case10_wrapper_version
web3bugs_83_H_02,web3bugs,MasterChef,deposit,170;171;172,not_detectable,,,L4b,algorithm,B,,,Y,N,missing_state_update_fee_recipient_data_model_absence_Case11_twin
web3bugs_110_H_01,web3bugs,StakedCitadel,balance,293;294,not_detectable,,,L4b,algorithm,B,,,Y,Y,missing_strategy_balance_call_NatSpec_mentions_vault_plus_strategy_Case11_Case16_Case20_family
web3bugs_35_H_12,web3bugs,ConcentratedLiquidityPool,mint,176;184,not_detectable,,,L5a,value,A,,consistency,N,,secondsPerLiquidity_missing_update_swap_sibling_consistency
web3bugs_52_H_23,web3bugs,VaderPoolV2,mintSynth,161,not_detectable,,,L5a,value,A,,domain,N,,reserveForeign_missing_deduction_synth_minting_economics_domain_required
web3bugs_62_H_03,web3bugs,Stream,claimReward,575,not_detectable,,,L5a,value,A,,consistency,N,,rewardTokenAmount_missing_decrement_token_transfer_tracking_pattern
web3bugs_62_H_10,web3bugs,Stream,creatorClaimSoldTokens,597,not_detectable,,,L5a,value,A,,consistency,N,,Case23_twin_deposit_token_transfer_tracking_missing_update
web3bugs_65_H_01,web3bugs,Basket,handleFees,136;137,not_detectable,,,L5a,value,A,,consistency,N,,lastFee_missing_update_in_startSupply_zero_branch_inter_branch_inconsistency
web3bugs_83_H_01,web3bugs,MasterChef,add,89,not_detectable,,,L5a,algorithm,A,,mixed,N,,massUpdatePools_missing_call_before_totalAllocPoint_change_existing_pools_accConcurPerShare_invariant
web3bugs_192_H_01,web3bugs,Lock,extendLock,90;91,not_detectable,,,L5a,value,A,,consistency,N,,totalLocked_missing_update_lock_sibling_consistency_leads_to_release_underflow
web3bugs_31_H_01,web3bugs,MyStrategy,manualRebalance,469;471;477,not_detectable,,,L5b,value,A,,domain,N,,currentLockRatio_dimensional_mismatch_ratio_vs_amount_downstream_usage_analysis_domain
web3bugs_35_H_11,web3bugs,Ticks,cross,40;49,not_detectable,,,L5b,value,A,,domain,N,,wrong_struct_field_feeGrowthOutside0_vs_1_zeroForOne_token1_outside1_mapping
web3bugs_70_H_09,web3bugs,USDV,mint;burn,76;109,not_detectable,,,L5b,value,A,,domain,N,,wrong_price_conversion_direction_oracle_spec_dependent
web3bugs_79_H_02,web3bugs,LaunchEvent,createPair,398,not_detectable,,,L5b,value,A,,domain,N,,wrong_scaling_factor_token_decimals_vs_1e18_natspec_partial_hint
web3bugs_101_H_02,web3bugs,LenderPool,terminate,389;400,not_detectable,,,L5b,value,A,,domain,N,,token_share_mixing_should_use_sharesHeld_directly_terminate_semantic
web3bugs_112_H_01,web3bugs,StakerVault,transfer,112;113;117;118,not_detectable,,,L5b,algorithm,A,,consistency,N,,operation_ordering_balance_before_checkpoint_transferFrom_sibling_correct
web3bugs_113_H_05,web3bugs,NFTPairWithOracle,_lend,316,not_detectable,,,L5b,value,A,,domain,N,,wrong_require_operator_GE_should_be_LE_lender_favorable_direction
